"","colnamea","colnameb",""
"1","otus.plain.dist","otus.plain.dist","1"
"2","otus.plain.dist","otus.log.dist","0.900569203168756"
"3","otus.plain.dist","otus.norm.dist","0.312132884471627"
"4","otus.plain.dist","otus.rarefy.dist","1"
"5","otus.log.dist","otus.log.dist","1"
"6","otus.log.dist","otus.norm.dist","0.505709096521791"
"7","otus.log.dist","otus.rarefy.dist","0.900569203168756"
"8","otus.norm.dist","otus.norm.dist","1"
"9","otus.norm.dist","otus.rarefy.dist","0.312132884471627"
"10","otus.rarefy.dist","otus.rarefy.dist","1"
