"","otus.plain.nmf","otus.log.nmf","otus.norm.nmf","otus.rarefy.nmf"
"1","1","3","1","3"
"2","1","3","1","3"
"3","1","3","1","3"
"4","3","3","1","3"
"5","1","3","1","2"
"6","1","3","1","3"
"7","1","3","1","3"
"8","1","3","1","3"
"9","1","3","2","3"
"10","1","3","1","3"
"11","1","3","1","3"
"12","1","3","3","3"
"13","1","3","1","3"
"14","2","1","1","1"
"15","3","2","3","2"
"16","3","2","3","1"
"17","2","1","1","2"
"18","2","1","2","3"
"19","2","1","3","2"
"20","3","2","3","1"
"21","2","1","3","2"
"22","2","1","3","2"
"23","2","1","1","2"
"24","3","2","3","1"
"25","1","2","1","2"
"26","2","1","3","2"
"27","3","2","3","3"
"28","2","1","1","2"
"29","2","1","3","2"
"30","2","1","3","2"
"31","3","2","3","3"
"32","2","1","2","2"
"33","1","3","1","3"
"34","1","3","1","3"
"35","1","3","1","3"
"36","1","3","1","3"
"37","1","3","1","3"
"38","1","3","1","3"
"39","1","3","1","3"
"40","1","3","1","3"
"41","1","3","1","2"
"42","1","3","1","3"
"43","3","2","3","1"
"44","3","2","3","1"
"45","3","2","3","1"
"46","3","2","3","1"
"47","3","2","2","1"
"48","3","2","3","1"
"49","2","1","2","3"
"50","3","2","3","1"
"51","3","2","3","3"
"52","3","2","3","2"
"53","3","2","3","2"
"54","3","2","3","1"
"55","2","1","3","3"
"56","2","1","2","2"
"57","3","2","3","1"
"58","2","1","2","3"
"59","3","2","3","1"
